"id_block" "species" "sample_size" "slope_temperature" "slope_rainfall" "abs_slope_temperature" "abs_slope_rainfall" "fam_sys_known50" "fam_sys_inferred50" "coop_num" "hand_wing_index" "migration" "mass" "logmass" "latitude" "abs_latitude"
"50" "10430_1" "Ciconia_ciconia" 27 -0.0447765982737667 -0.0272758379265967 0.0447765982737667 0.0272758379265967 NA NA NA 45.9 3 3445.8 8.14491137709831 58.66667 58.66667
"51" "10436_1" "Aegypius_monachus" 21 -0.0056784977326 -0.00393541351948 0.0056784977326 0.00393541351948 NA NA NA 41.1 1 9320.6 9.13998228328989 41.14972 41.14972
"52" "10458_1" "Bubo_bubo" 19 -0.00206659308316 -0.00150567289472467 0.00206659308316 0.00150567289472467 "no_fam" "1_no_fam" 1 33 1 2668.5 7.889271795774 46.03472 46.03472
"53" "10459_1" "Bubo_bubo" 9 -0.0378640309327 -0.00561607232497333 0.0378640309327 0.00561607232497333 "no_fam" "1_no_fam" 1 33 1 2668.5 7.889271795774 51.96667 51.96667
"54" "10464_1" "Bubo_bubo" 22 0.0148006925337333 -0.002925417751 0.0148006925337333 0.002925417751 "no_fam" "1_no_fam" 1 33 1 2668.5 7.889271795774 50.76389 50.76389
"55" "10465_3" "Bubo_bubo" 10 -0.0203921686328333 -0.0106160839038333 0.0203921686328333 0.0106160839038333 "no_fam" "1_no_fam" 1 33 1 2668.5 7.889271795774 54.44528 54.44528
"56" "10467_1" "Bubo_bubo" 17 0.242906784249667 -0.0458677562191667 0.242906784249667 0.0458677562191667 "no_fam" "1_no_fam" 1 33 1 2668.5 7.889271795774 53.77917 53.77917
"57" "10469_1" "Ciconia_nigra" 27 0.04926731277544 -0.0354502829815 0.04926731277544 0.0354502829815 NA "1_no_fam" 1 43.1 3 2926 7.98139158158007 51.96722 51.96722
"58" "10470_2" "Pandion_haliaetus" 16 -0.0276796366134667 0.0194340961144 0.0276796366134667 0.0194340961144 "no_fam" "1_no_fam" 1 44.9 3 1483.2 7.30195719481159 51.96722 51.96722
"59" "10471_1" "Haliaeetus_albicilla" 32 0.104346119982333 -0.0630956479823333 0.104346119982333 0.0630956479823333 "no_fam" "1_no_fam" 1 38 2 4729.3 8.46153247899081 51.96722 51.96722
"60" "10478_1" "Bubo_bubo" 49 0.00313172766658 0.0386790908027333 0.00313172766658 0.0386790908027333 "no_fam" "1_no_fam" 1 33 1 2668.5 7.889271795774 50.92 50.92
"61" "10479_1" "Bubo_bubo" 15 0.0665388536546667 0.0668114581787 0.0665388536546667 0.0668114581787 "no_fam" "1_no_fam" 1 33 1 2668.5 7.889271795774 50.88333 50.88333
"62" "10479_2" "Bubo_bubo" 27 -0.0966360740002333 -0.109313820804333 0.0966360740002333 0.109313820804333 "no_fam" "1_no_fam" 1 33 1 2668.5 7.889271795774 50.88333 50.88333
"63" "1048_1" "Grus_americana" 19 -0.0471143016560667 -0.00410050289361667 0.0471143016560667 0.00410050289361667 "family" "2_family" 2 42.7 3 5826 8.67008593751938 27.86083 27.86083
"64" "1048_2" "Grus_americana" 10 0.170714123728667 0.0207582783577333 0.170714123728667 0.0207582783577333 "family" "2_family" 2 42.7 3 5826 8.67008593751938 27.86083 27.86083
"65" "10480_1" "Grus_grus" 17 0.136387602468667 -0.0195759504679867 0.136387602468667 0.0195759504679867 "family" "2_family" 2 43 3 5500 8.61250337122056 47.53333 47.53333
